source,target,weight
"('SS-STAKEHOLDER', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('TECH-CONCEPT', 'tpm of tpms role')",tpm of tpms role,1
"('TECH-CONCEPT', 'working across multiple l8 teams')",working across multiple l8 teams,1
"('TECH-CONCEPT', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('TECH-HANDSON', 'tpm of tpms role')",tpm of tpms role,1
"('TECH-HANDSON', 'working across multiple l8 teams')",working across multiple l8 teams,1
"('TECH-HANDSON', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('TECH-OPS', 'tpm of tpms role')",tpm of tpms role,1
"('TECH-OPS', 'working across multiple l8 teams')",working across multiple l8 teams,1
"('TECH-OPS', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('tpm of tpms role', 'working across multiple l8 teams')",working across multiple l8 teams,1
"('tpm of tpms role', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('working across multiple l8 teams', 'ww parity across na, eu and japan regions')","ww parity across na, eu and japan regions",1
"('CONTEXT-COMPLEX', 'ms office applications proficiency')",ms office applications proficiency,1
"('CORE-ADAPT', 'ms office applications proficiency')",ms office applications proficiency,1
"('CORE-BUSINESS', 'ms office applications proficiency')",ms office applications proficiency,1
"('EXP-INDUSTRY', 'ms office applications proficiency')",ms office applications proficiency,1
"('EXP-PM-YRS', 'ms office applications proficiency')",ms office applications proficiency,1
"('EXP_ROLE', 'ms office applications proficiency')",ms office applications proficiency,1
"('PM-BUDGET', 'ms office applications proficiency')",ms office applications proficiency,1
"('PM-METHOD', 'ms office applications proficiency')",ms office applications proficiency,1
"('PM-PLAN', 'ms office applications proficiency')",ms office applications proficiency,1
"('PM-RISK', 'ms office applications proficiency')",ms office applications proficiency,1
"('PM-TOOL', 'ms office applications proficiency')",ms office applications proficiency,1
"('QUAL-PREF', 'ms office applications proficiency')",ms office applications proficiency,1
"('SS-CONFLICT', 'ms office applications proficiency')",ms office applications proficiency,1
"('SS-LEADERSHIP', 'ms office applications proficiency')",ms office applications proficiency,1
"('SS-STAKEHOLDER', 'ms office applications proficiency')",ms office applications proficiency,1
"('TECH-CONCEPT', 'ms office applications proficiency')",ms office applications proficiency,1
"('TECH-HANDSON', 'ms office applications proficiency')",ms office applications proficiency,1
"('TECH-OPS', 'ms office applications proficiency')",ms office applications proficiency,1
"('CONTEXT-COMPLEX', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('CONTEXT-COMPLEX', 'attention to details')",attention to details,1
"('CONTEXT-COMPLEX', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('CONTEXT-COMPLEX', 'courageous spirit')",courageous spirit,1
"('CONTEXT-COMPLEX', 'impeccable organizational skills')",impeccable organizational skills,1
"('CONTEXT-COMPLEX', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('CONTEXT-COMPLEX', 'passion for ai/ml')",passion for ai/ml,1
"('CONTEXT-COMPLEX', 'proclivity towards action')",proclivity towards action,1
"('CONTEXT-COMPLEX', 'strong hunger factor')",strong hunger factor,1
"('CONTEXT-COMPLEX', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('CONTEXT-ETHIC', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('CONTEXT-ETHIC', 'attention to details')",attention to details,1
"('CONTEXT-ETHIC', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('CONTEXT-ETHIC', 'courageous spirit')",courageous spirit,1
"('CONTEXT-ETHIC', 'impeccable organizational skills')",impeccable organizational skills,1
"('CONTEXT-ETHIC', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('CONTEXT-ETHIC', 'passion for ai/ml')",passion for ai/ml,1
"('CONTEXT-ETHIC', 'proclivity towards action')",proclivity towards action,1
"('CONTEXT-ETHIC', 'strong hunger factor')",strong hunger factor,1
"('CONTEXT-ETHIC', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('CONTEXT-REG', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('CONTEXT-REG', 'attention to details')",attention to details,1
"('CONTEXT-REG', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('CONTEXT-REG', 'courageous spirit')",courageous spirit,1
"('CONTEXT-REG', 'impeccable organizational skills')",impeccable organizational skills,1
"('CONTEXT-REG', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('CONTEXT-REG', 'passion for ai/ml')",passion for ai/ml,1
"('CONTEXT-REG', 'proclivity towards action')",proclivity towards action,1
"('CONTEXT-REG', 'strong hunger factor')",strong hunger factor,1
"('CONTEXT-REG', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('CORE-ADAPT', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('CORE-ADAPT', 'attention to details')",attention to details,1
"('CORE-ADAPT', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('CORE-ADAPT', 'courageous spirit')",courageous spirit,1
"('CORE-ADAPT', 'impeccable organizational skills')",impeccable organizational skills,1
"('CORE-ADAPT', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('CORE-ADAPT', 'passion for ai/ml')",passion for ai/ml,1
"('CORE-ADAPT', 'proclivity towards action')",proclivity towards action,1
"('CORE-ADAPT', 'strong hunger factor')",strong hunger factor,1
"('CORE-ADAPT', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('CORE-BUSINESS', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('CORE-BUSINESS', 'attention to details')",attention to details,1
"('CORE-BUSINESS', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('CORE-BUSINESS', 'courageous spirit')",courageous spirit,1
"('CORE-BUSINESS', 'impeccable organizational skills')",impeccable organizational skills,1
"('CORE-BUSINESS', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('CORE-BUSINESS', 'passion for ai/ml')",passion for ai/ml,1
"('CORE-BUSINESS', 'proclivity towards action')",proclivity towards action,1
"('CORE-BUSINESS', 'strong hunger factor')",strong hunger factor,1
"('CORE-BUSINESS', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('EDU-ADV', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('EDU-ADV', 'attention to details')",attention to details,1
"('EDU-ADV', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('EDU-ADV', 'courageous spirit')",courageous spirit,1
"('EDU-ADV', 'impeccable organizational skills')",impeccable organizational skills,1
"('EDU-ADV', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('EDU-ADV', 'passion for ai/ml')",passion for ai/ml,1
"('EDU-ADV', 'proclivity towards action')",proclivity towards action,1
"('EDU-ADV', 'strong hunger factor')",strong hunger factor,1
"('EDU-ADV', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('EXP-INDUSTRY', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('EXP-INDUSTRY', 'attention to details')",attention to details,1
"('EXP-INDUSTRY', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('EXP-INDUSTRY', 'courageous spirit')",courageous spirit,1
"('EXP-INDUSTRY', 'impeccable organizational skills')",impeccable organizational skills,1
"('EXP-INDUSTRY', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('EXP-INDUSTRY', 'passion for ai/ml')",passion for ai/ml,1
"('EXP-INDUSTRY', 'proclivity towards action')",proclivity towards action,1
"('EXP-INDUSTRY', 'strong hunger factor')",strong hunger factor,1
"('EXP-INDUSTRY', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('EXP-PM-YRS', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('EXP-PM-YRS', 'attention to details')",attention to details,1
"('EXP-PM-YRS', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('EXP-PM-YRS', 'courageous spirit')",courageous spirit,1
"('EXP-PM-YRS', 'impeccable organizational skills')",impeccable organizational skills,1
"('EXP-PM-YRS', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('EXP-PM-YRS', 'passion for ai/ml')",passion for ai/ml,1
"('EXP-PM-YRS', 'proclivity towards action')",proclivity towards action,1
"('EXP-PM-YRS', 'strong hunger factor')",strong hunger factor,1
"('EXP-PM-YRS', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('EXP_ROLE', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('EXP_ROLE', 'attention to details')",attention to details,1
"('EXP_ROLE', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('EXP_ROLE', 'courageous spirit')",courageous spirit,1
"('EXP_ROLE', 'impeccable organizational skills')",impeccable organizational skills,1
"('EXP_ROLE', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('EXP_ROLE', 'passion for ai/ml')",passion for ai/ml,1
"('EXP_ROLE', 'proclivity towards action')",proclivity towards action,1
"('EXP_ROLE', 'strong hunger factor')",strong hunger factor,1
"('EXP_ROLE', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('PM-METHOD', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('PM-METHOD', 'attention to details')",attention to details,1
"('PM-METHOD', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('PM-METHOD', 'courageous spirit')",courageous spirit,1
"('PM-METHOD', 'impeccable organizational skills')",impeccable organizational skills,1
"('PM-METHOD', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('PM-METHOD', 'passion for ai/ml')",passion for ai/ml,1
"('PM-METHOD', 'proclivity towards action')",proclivity towards action,1
"('PM-METHOD', 'strong hunger factor')",strong hunger factor,1
"('PM-METHOD', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('PM-PLAN', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('PM-PLAN', 'attention to details')",attention to details,1
"('PM-PLAN', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('PM-PLAN', 'courageous spirit')",courageous spirit,1
"('PM-PLAN', 'impeccable organizational skills')",impeccable organizational skills,1
"('PM-PLAN', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('PM-PLAN', 'passion for ai/ml')",passion for ai/ml,1
"('PM-PLAN', 'proclivity towards action')",proclivity towards action,1
"('PM-PLAN', 'strong hunger factor')",strong hunger factor,1
"('PM-PLAN', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('PM-TOOL', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('PM-TOOL', 'attention to details')",attention to details,1
"('PM-TOOL', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('PM-TOOL', 'courageous spirit')",courageous spirit,1
"('PM-TOOL', 'impeccable organizational skills')",impeccable organizational skills,1
"('PM-TOOL', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('PM-TOOL', 'passion for ai/ml')",passion for ai/ml,1
"('PM-TOOL', 'proclivity towards action')",proclivity towards action,1
"('PM-TOOL', 'strong hunger factor')",strong hunger factor,1
"('PM-TOOL', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('QUAL-PREF', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('QUAL-PREF', 'attention to details')",attention to details,1
"('QUAL-PREF', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('QUAL-PREF', 'courageous spirit')",courageous spirit,1
"('QUAL-PREF', 'impeccable organizational skills')",impeccable organizational skills,1
"('QUAL-PREF', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('QUAL-PREF', 'passion for ai/ml')",passion for ai/ml,1
"('QUAL-PREF', 'proclivity towards action')",proclivity towards action,1
"('QUAL-PREF', 'strong hunger factor')",strong hunger factor,1
"('QUAL-PREF', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('SS-CONFLICT', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('SS-CONFLICT', 'attention to details')",attention to details,1
"('SS-CONFLICT', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('SS-CONFLICT', 'courageous spirit')",courageous spirit,1
"('SS-CONFLICT', 'impeccable organizational skills')",impeccable organizational skills,1
"('SS-CONFLICT', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('SS-CONFLICT', 'other')",other,3
"('SS-CONFLICT', 'passion for ai/ml')",passion for ai/ml,1
"('SS-CONFLICT', 'proclivity towards action')",proclivity towards action,1
"('SS-CONFLICT', 'strong hunger factor')",strong hunger factor,1
"('SS-CONFLICT', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('SS-LEADERSHIP', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('SS-LEADERSHIP', 'attention to details')",attention to details,1
"('SS-LEADERSHIP', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('SS-LEADERSHIP', 'courageous spirit')",courageous spirit,1
"('SS-LEADERSHIP', 'impeccable organizational skills')",impeccable organizational skills,1
"('SS-LEADERSHIP', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('SS-LEADERSHIP', 'passion for ai/ml')",passion for ai/ml,1
"('SS-LEADERSHIP', 'proclivity towards action')",proclivity towards action,1
"('SS-LEADERSHIP', 'strong hunger factor')",strong hunger factor,1
"('SS-LEADERSHIP', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('SS-STAKEHOLDER', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('SS-STAKEHOLDER', 'attention to details')",attention to details,1
"('SS-STAKEHOLDER', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('SS-STAKEHOLDER', 'courageous spirit')",courageous spirit,1
"('SS-STAKEHOLDER', 'impeccable organizational skills')",impeccable organizational skills,1
"('SS-STAKEHOLDER', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('SS-STAKEHOLDER', 'passion for ai/ml')",passion for ai/ml,1
"('SS-STAKEHOLDER', 'proclivity towards action')",proclivity towards action,1
"('SS-STAKEHOLDER', 'strong hunger factor')",strong hunger factor,1
"('SS-STAKEHOLDER', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('TECH-CONCEPT', 'ability to travel unrestricted (up to 10%)')",ability to travel unrestricted (up to 10%),1
"('TECH-CONCEPT', 'attention to details')",attention to details,1
"('TECH-CONCEPT', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('TECH-CONCEPT', 'courageous spirit')",courageous spirit,1
"('TECH-CONCEPT', 'impeccable organizational skills')",impeccable organizational skills,1
"('TECH-CONCEPT', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('TECH-CONCEPT', 'passion for ai/ml')",passion for ai/ml,1
"('TECH-CONCEPT', 'proclivity towards action')",proclivity towards action,1
"('TECH-CONCEPT', 'strong hunger factor')",strong hunger factor,1
"('TECH-CONCEPT', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('ability to travel unrestricted (up to 10%)', 'attention to details')",attention to details,1
"('ability to travel unrestricted (up to 10%)', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('ability to travel unrestricted (up to 10%)', 'courageous spirit')",courageous spirit,1
"('ability to travel unrestricted (up to 10%)', 'impeccable organizational skills')",impeccable organizational skills,1
"('ability to travel unrestricted (up to 10%)', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('ability to travel unrestricted (up to 10%)', 'other')",other,1
"('ability to travel unrestricted (up to 10%)', 'passion for ai/ml')",passion for ai/ml,1
"('ability to travel unrestricted (up to 10%)', 'proclivity towards action')",proclivity towards action,1
"('ability to travel unrestricted (up to 10%)', 'strong hunger factor')",strong hunger factor,1
"('ability to travel unrestricted (up to 10%)', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('attention to details', 'consumer electronics regulation and compliance')",consumer electronics regulation and compliance,1
"('attention to details', 'courageous spirit')",courageous spirit,1
"('attention to details', 'impeccable organizational skills')",impeccable organizational skills,1
"('attention to details', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('attention to details', 'other')",other,1
"('attention to details', 'passion for ai/ml')",passion for ai/ml,1
"('attention to details', 'proclivity towards action')",proclivity towards action,1
"('attention to details', 'strong hunger factor')",strong hunger factor,1
"('attention to details', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('consumer electronics regulation and compliance', 'courageous spirit')",courageous spirit,1
"('consumer electronics regulation and compliance', 'impeccable organizational skills')",impeccable organizational skills,1
"('consumer electronics regulation and compliance', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('consumer electronics regulation and compliance', 'other')",other,1
"('consumer electronics regulation and compliance', 'passion for ai/ml')",passion for ai/ml,1
"('consumer electronics regulation and compliance', 'proclivity towards action')",proclivity towards action,1
"('consumer electronics regulation and compliance', 'strong hunger factor')",strong hunger factor,1
"('consumer electronics regulation and compliance', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('courageous spirit', 'impeccable organizational skills')",impeccable organizational skills,1
"('courageous spirit', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('courageous spirit', 'other')",other,1
"('courageous spirit', 'passion for ai/ml')",passion for ai/ml,1
"('courageous spirit', 'proclivity towards action')",proclivity towards action,1
"('courageous spirit', 'strong hunger factor')",strong hunger factor,1
"('courageous spirit', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('impeccable organizational skills', 'managing highly visible role with company-wide impact')",managing highly visible role with company-wide impact,1
"('impeccable organizational skills', 'other')",other,1
"('impeccable organizational skills', 'passion for ai/ml')",passion for ai/ml,1
"('impeccable organizational skills', 'proclivity towards action')",proclivity towards action,1
"('impeccable organizational skills', 'strong hunger factor')",strong hunger factor,1
"('impeccable organizational skills', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('managing highly visible role with company-wide impact', 'other')",other,1
"('managing highly visible role with company-wide impact', 'passion for ai/ml')",passion for ai/ml,1
"('managing highly visible role with company-wide impact', 'proclivity towards action')",proclivity towards action,1
"('managing highly visible role with company-wide impact', 'strong hunger factor')",strong hunger factor,1
"('managing highly visible role with company-wide impact', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('other', 'passion for ai/ml')",passion for ai/ml,1
"('other', 'proclivity towards action')",proclivity towards action,1
"('other', 'strong hunger factor')",strong hunger factor,1
"('other', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('passion for ai/ml', 'proclivity towards action')",proclivity towards action,1
"('passion for ai/ml', 'strong hunger factor')",strong hunger factor,1
"('passion for ai/ml', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('proclivity towards action', 'strong hunger factor')",strong hunger factor,1
"('proclivity towards action', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('strong hunger factor', 'upholding apple’s expectations')",upholding apple’s expectations,1
"('CONTEXT-COMPLEX', 'non-profit environment')",non-profit environment,1
"('CONTEXT-COMPLEX', 'visibility across the entire stack')",visibility across the entire stack,1
"('CORE-ADAPT', 'non-profit environment')",non-profit environment,1
"('CORE-ADAPT', 'visibility across the entire stack')",visibility across the entire stack,1
"('CORE-BUSINESS', 'non-profit environment')",non-profit environment,1
"('CORE-BUSINESS', 'visibility across the entire stack')",visibility across the entire stack,1
"('EXP-INDUSTRY', 'non-profit environment')",non-profit environment,1
"('EXP-INDUSTRY', 'visibility across the entire stack')",visibility across the entire stack,1
"('EXP-PM-YRS', 'non-profit environment')",non-profit environment,1
"('EXP-PM-YRS', 'visibility across the entire stack')",visibility across the entire stack,1
"('EXP_ROLE', 'non-profit environment')",non-profit environment,1
"('EXP_ROLE', 'visibility across the entire stack')",visibility across the entire stack,1
"('PM-BUDGET', 'non-profit environment')",non-profit environment,1
"('PM-BUDGET', 'visibility across the entire stack')",visibility across the entire stack,1
"('PM-PLAN', 'non-profit environment')",non-profit environment,1
"('PM-PLAN', 'visibility across the entire stack')",visibility across the entire stack,1
"('PM-RISK', 'non-profit environment')",non-profit environment,1
"('PM-RISK', 'visibility across the entire stack')",visibility across the entire stack,1
"('SS-LEADERSHIP', 'non-profit environment')",non-profit environment,1
"('SS-LEADERSHIP', 'visibility across the entire stack')",visibility across the entire stack,1
"('SS-STAKEHOLDER', 'non-profit environment')",non-profit environment,1
"('SS-STAKEHOLDER', 'visibility across the entire stack')",visibility across the entire stack,1
"('TECH-CONCEPT', 'non-profit environment')",non-profit environment,1
"('TECH-CONCEPT', 'visibility across the entire stack')",visibility across the entire stack,1
"('TECH-HANDSON', 'non-profit environment')",non-profit environment,1
"('TECH-HANDSON', 'visibility across the entire stack')",visibility across the entire stack,1
"('TECH-OPS', 'non-profit environment')",non-profit environment,1
"('TECH-OPS', 'visibility across the entire stack')",visibility across the entire stack,1
"('non-profit environment', 'visibility across the entire stack')",visibility across the entire stack,1
"('CONTEXT-COMPLEX', 'linkedin account required')",linkedin account required,1
"('CONTEXT-COMPLEX', 'manage multiple priorities')",manage multiple priorities,1
"('CONTEXT-COMPLEX', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('CONTEXT-COMPLEX', 'us citizen or green card status required')",us citizen or green card status required,1
"('CORE-ADAPT', 'linkedin account required')",linkedin account required,1
"('CORE-ADAPT', 'manage multiple priorities')",manage multiple priorities,1
"('CORE-ADAPT', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('CORE-ADAPT', 'us citizen or green card status required')",us citizen or green card status required,1
"('CORE-BUSINESS', 'linkedin account required')",linkedin account required,1
"('CORE-BUSINESS', 'manage multiple priorities')",manage multiple priorities,1
"('CORE-BUSINESS', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('CORE-BUSINESS', 'us citizen or green card status required')",us citizen or green card status required,1
"('EDU-ADV', 'linkedin account required')",linkedin account required,1
"('EDU-ADV', 'manage multiple priorities')",manage multiple priorities,1
"('EDU-ADV', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('EDU-ADV', 'us citizen or green card status required')",us citizen or green card status required,1
"('EXP-AI-YRS', 'linkedin account required')",linkedin account required,1
"('EXP-AI-YRS', 'manage multiple priorities')",manage multiple priorities,1
"('EXP-AI-YRS', 'organizational skills')",organizational skills,3
"('EXP-AI-YRS', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('EXP-AI-YRS', 'us citizen or green card status required')",us citizen or green card status required,1
"('EXP-INDUSTRY', 'linkedin account required')",linkedin account required,1
"('EXP-INDUSTRY', 'manage multiple priorities')",manage multiple priorities,1
"('EXP-INDUSTRY', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('EXP-INDUSTRY', 'us citizen or green card status required')",us citizen or green card status required,1
"('EXP-PM-YRS', 'linkedin account required')",linkedin account required,1
"('EXP-PM-YRS', 'manage multiple priorities')",manage multiple priorities,1
"('EXP-PM-YRS', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('EXP-PM-YRS', 'us citizen or green card status required')",us citizen or green card status required,1
"('EXP_ROLE', 'linkedin account required')",linkedin account required,1
"('EXP_ROLE', 'manage multiple priorities')",manage multiple priorities,1
"('EXP_ROLE', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('EXP_ROLE', 'us citizen or green card status required')",us citizen or green card status required,1
"('PM-PLAN', 'linkedin account required')",linkedin account required,1
"('PM-PLAN', 'manage multiple priorities')",manage multiple priorities,1
"('PM-PLAN', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('PM-PLAN', 'us citizen or green card status required')",us citizen or green card status required,1
"('PM-RISK', 'linkedin account required')",linkedin account required,1
"('PM-RISK', 'manage multiple priorities')",manage multiple priorities,1
"('PM-RISK', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('PM-RISK', 'us citizen or green card status required')",us citizen or green card status required,1
"('PM-TOOL', 'linkedin account required')",linkedin account required,1
"('PM-TOOL', 'manage multiple priorities')",manage multiple priorities,1
"('PM-TOOL', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('PM-TOOL', 'us citizen or green card status required')",us citizen or green card status required,1
"('SS-CONFLICT', 'linkedin account required')",linkedin account required,1
"('SS-CONFLICT', 'manage multiple priorities')",manage multiple priorities,1
"('SS-CONFLICT', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('SS-CONFLICT', 'us citizen or green card status required')",us citizen or green card status required,1
"('SS-LEADERSHIP', 'linkedin account required')",linkedin account required,1
"('SS-LEADERSHIP', 'manage multiple priorities')",manage multiple priorities,1
"('SS-LEADERSHIP', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('SS-LEADERSHIP', 'us citizen or green card status required')",us citizen or green card status required,1
"('SS-STAKEHOLDER', 'linkedin account required')",linkedin account required,1
"('SS-STAKEHOLDER', 'manage multiple priorities')",manage multiple priorities,1
"('SS-STAKEHOLDER', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('SS-STAKEHOLDER', 'us citizen or green card status required')",us citizen or green card status required,1
"('TECH-CONCEPT', 'linkedin account required')",linkedin account required,1
"('TECH-CONCEPT', 'manage multiple priorities')",manage multiple priorities,1
"('TECH-CONCEPT', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('TECH-CONCEPT', 'us citizen or green card status required')",us citizen or green card status required,1
"('linkedin account required', 'manage multiple priorities')",manage multiple priorities,1
"('linkedin account required', 'organizational skills')",organizational skills,1
"('linkedin account required', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('linkedin account required', 'us citizen or green card status required')",us citizen or green card status required,1
"('manage multiple priorities', 'organizational skills')",organizational skills,1
"('manage multiple priorities', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('manage multiple priorities', 'us citizen or green card status required')",us citizen or green card status required,1
"('organizational skills', 'prior experience in contract or consulting roles')",prior experience in contract or consulting roles,1
"('organizational skills', 'us citizen or green card status required')",us citizen or green card status required,1
"('prior experience in contract or consulting roles', 'us citizen or green card status required')",us citizen or green card status required,1
"('CERT-PM', 'attention to detail')",attention to detail,1
"('CERT-PM', 'equivalent practical experience')",equivalent practical experience,1
"('CERT-PM', 'familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)')","familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)",1
"('CERT-PM', 'passionate about ai')",passionate about ai,1
"('CONTEXT-COMPLEX', 'attention to detail')",attention to detail,1
"('CONTEXT-COMPLEX', 'equivalent practical experience')",equivalent practical experience,1
"('CONTEXT-COMPLEX', 'familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)')","familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)",1
"('CONTEXT-COMPLEX', 'passionate about ai')",passionate about ai,1
"('CONTEXT-REG', 'attention to detail')",attention to detail,1
"('CONTEXT-REG', 'equivalent practical experience')",equivalent practical experience,1
"('CONTEXT-REG', 'familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)')","familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)",1
"('CONTEXT-REG', 'passionate about ai')",passionate about ai,1
"('CORE-ADAPT', 'attention to detail')",attention to detail,1
"('CORE-ADAPT', 'equivalent practical experience')",equivalent practical experience,1
"('CORE-ADAPT', 'familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)')","familiarity with modern hr technology platforms (e.g., workday, adp, salesforce)",1
