phrase,cluster
proven success leading cross-functional initiatives,15
collaboration with distributed teams,15
fostering collaboration,15
engagement with engineering teams,15
cross-functional and/or cross-team projects,15
collaboration with development team,15
managing consulting team,15
escalating cross-team blockers,15
partner with cross-functional teams to resolve issues,15
cross-functional team coordination,15
team collaboration,15
communicate clearly with cross-functional partners,15
teamwork software proficiency,15
managing programs across cross functional teams,15
consulting team management,15
organizational collaboration,15
experience managing programs across cross functional teams,15
cross functional collaboration,15
assist enablement team and partner team with training material,15
"partner with solution design, people engineering, and data science teams",15
timelines management,16
issue resolution,16
prepare and deliver executive-level updates and dashboards,16
drive continuous improvement,16
delivering results on time,16
renewal outcomes improvement,16
cohesive and timely execution,16
ensure high-quality deliverables,16
running reporting mechanisms,16
prepare and distribute progress reports,16
commitment to continuous process improvement,16
establish structured weekly reporting frameworks,16
timelines and milestones definition,16
program schedule tracking,16
post-launch support,16
experience coordinating release schedules,16
delivery,16
continuous process improvement,16
"provide transparent, timely reporting",16
manage rollouts including communication and training,16
scheduling,16
program status updates,16
milestone tracking,16
plan and direct schedules,16
maintain raid logs,16
developing release plans,16
"detailed, actionable plans for day-to-day execution",16
logistics process improvement,16
tracking delivery,16
develop staging and implementation plans for pilots and releases,16
milestones tracking,16
proactively identifying workflow improvement,16
diagnose and resolve issues,16
improve renewal outcomes,16
perform delivery planning,16
run operational reviews,16
status reviews,16
monitor progress,16
ensure clear communication of next steps and responsibilities,16
process improvement,16
milestone management,16
coordinate release schedules,16
schedule management,16
achieving reference-able client status,16
working with urgency,16
evaluating new systems and releases,16
ensure on-time deliverables,16
readiness assessment,16
prepare and deliver high-quality communications,16
managing timelines,16
tracking timelines,16
tracking telemetry,16
status reporting,16
coordinating release schedules,16
managing multiple deadlines,16
"ensure on-time, high-quality delivery",16
program timelines management,16
deliverable tracking,16
"manage delivery within scope, budget, and schedule",16
support process testing,16
communicate progress towards delivery dates,16
ability to meet deadlines,16
ensure timely delivery of features,16
deliver measurable outcomes,16
regularly communicate status updates,16
establish regular reporting mechanisms,16
track deliverables,16
timeline management,16
schedule planning,16
successful delivery,16
continuously improve processes,16
3 days/week in-office,16
progress monitoring,16
disciplined execution,16
operational reviews,16
"own program schedule, milestones, and deliverable tracking",16
"hybrid work schedule (raleigh, nc)",16
tracking issues to resolution,16
standup mechanisms to track progress,16
collaborate to identify and recommend process improvements,16
milestone definition,16
deliverables management,16
ensure clear and communicated release process,16
communicating and delivering briefings and updates to senior engineering management and executives,16
roadmap status presentation,16
proven experience managing direct reports,16
monitoring and reporting progress,16
continuous improvement,16
job scheduler tools,16
delivery planning,16
preparing and delivering project status updates and reviews,16
ensuring continued progress on initiatives,16
manage queue of customer facing issues and feature requests,16
fostering continuous improvement,16
conducting retrospectives,16
prepare and deliver high-quality communication reports,16
timely progress updates,16
"ensure completion within scope, budget, and timelines",16
transparent progress updates,16
milestones and deliverables,16
publish clear updates,16
ensuring successful delivery,16
improving patient outcomes,16
process improvements,16
track and communicate progress,16
delivery dates management,16
clear and timely escalation,16
proactive identification of process improvements,16
raid logs maintenance,16
msft planner,16
ensure non-disruptive release process,16
support training logistics,16
contribute to tpm best practices and delivery rituals,16
monitoring,16
risk mitigation plans,17
translating complex risks/decisions for varied audiences,17
risk-managed delivery,17
model lifecycle risk assessment,17
improving patient safety,17
operational and ethical risks,17
manage security risk,17
proactively assessing risks across model lifecycle,17
risk mitigation,17
managing risks,17
escalating risks and dependencies effectively,17
risk resolution and escalation,17
risk and dependency management,17
business risks,17
set standards and advises on high-risk use cases,17
understanding of model risk management in regulated environments (preferred),17
security tradeoffs understanding,17
risk management expertise,17
risk and issues logs management,17
mitigate risks,17
risk matrix,17
manage risks and issues,17
proactively identifying and resolving risks and blockers,17
model safety/responsible deployment,17
ensure measurable impact,17
identify potential risks early,17
assessing risks and recommending practical mitigations,17
proactively mitigate risk,17
risk assessments,17
familiarity with types of harms,17
"orchestrating coe execution, planning, governance, and risk management",17
"summarizing progress, risks, and outcomes",17
business risk identification and mitigation,17
mitigating technical risks,17
managing high-risk use cases,17
risk management framework (rmf),17
risk mitigation strategies,17
safe program consultant,17
risk management,17
proactive risk and issue management,17
risk identification and management,17
building and scaling security/risk-focused programs,17
resolve risks,17
identifying potential security risks early,17
risk tracking,17
"communicate progress, risks, and solutions effectively",17
risk communication and mitigation planning,17
risk identification,17
identify technology operations risks,17
proactively identify risks and issues,17
identify high-impact use cases,17
anticipate risks,17
"offering practical, risk-aware input",17
"proactively manage risks, issues, and dependencies",17
recommending technical safeguards and operational processes,17
risk reasoning,17
risk assessment,17
risk register maintenance,17
track risks,17
technical risk identification and mitigation,17
identify risks,17
communicate risks and mitigation plans,17
contribute to early adoption plans,18
facilitate knowledge sharing and success story dissemination,18
drive clarity and momentum,18
thrives in complexity,18
partner with hr to develop comprehensive genai education strategy and curriculum,18
entrepreneurial,18
remote-friendly work culture,18
identifying high-value genai use cases,18
innate understanding of product development,18
embody microsoft culture and values,18
building trust,18
commitment to affordability and inclusion,18
drive researcher experience,18
thriving in complex environments,18
maintain strong visibility into test & learn agendas,18
self-motivation,18
fostering a culture of innovation and accountability,18
organization-wide adoption (genai),18
pragmatic approach,18
analytical mindset,18
commitment to educational innovation,18
passion for innovation,18
working in fast-paced environment,18
facilitate creative review and approval cycles,18
familiarity with digital engagement platforms,18
foster a genai-forward culture,18
support an inclusive culture (digital accessibility focus),18
day-to-day management of the engagement,18
high resilience,18
"desire to continuously innovate, learn, and grow",18
comfortable navigating change and ambiguity,18
naturally curious,18
driving innovation,18
capturing lessons learned,18
ensure cross-functional alignment on genai initiatives,18
ability to travel up to 50% annually,18
"proactive mindset to test, learn, and scale",18
leading initiatives that drive innovation,18
contribute to solutions,18
influence,18
thrives in ambiguity,18
courageous spirit,18
evangelization,18
thrive in a fast-paced environment,18
ambiguous needs,18
adapting to ambiguity,18
serve as the central catalyst for genai transformation,18
political savvy,18
encourage knowledge sharing and training,18
empowerment,18
familiarity with paid social ecosystems,18
"grow in ambiguous, fast-paced environments",18
gaming technology/interactive entertainment,18
foster a culture of innovation,18
genai governance,18
self-aware,18
capable of working independently,18
skeptical yet constructive,18
proactive mindset,18
technical evangelism (nice to have),18
drive early pilots across core product families,18
build relationships,18
willingness to take a hands-on approach,18
high-uncertainty environments experience,18
commercial awareness (implied),18
positive attitude,18
clear guidance,18
drive clarity on ongoing roadblocks and misalignment,18
engagement management,18
ability to travel unrestricted (up to 10%),18
flexibility to engage in non-regular hours,18
genai concepts,18
high degree of empathy,18
"thriving in a global, fast-paced environment",18
roadmap and maturity development,18
leading innovation initiatives,18
shaping practices in emerging spaces,18
operating effectively in a fast-paced environment,18
improving patient experience,18
equivalent practical experience,18
"applies leading-edge principles, theories, and concepts",18
drive innovation,18
track record of embracing ambiguity,18
personalized pedagogy,18
"thrives in complex, fast-paced environments",18
embracing ambiguity,18
thriving in innovative environment,18
exploring early adoption opportunities,18
strong hunger factor,18
thriving in a fast-paced and demanding product development climate,18
high-value care,18
driving clarity in a global environment,18
entrepreneurial mindset,18
passion for technological innovation,18
thrives in a fast-paced environment,18
evaluating multiple perspectives,18
test & learn agendas,18
equivalent experience,18
proactive,18
thriving in fast-paced environment,18
cross-functional influence,18
understanding the art of the possible,18
drive organizational readiness,18
"commitment to diversity, equity, and inclusion (dei)",18
passion for improving life sciences through technology,18
proven ability to work cross-functionally,18
foster a genai-forward culture through sustained education,18
accelerate adoption,18
quickly-growing environment,18
model evaluators familiarity,18
"actionable insights (descriptive, predictive, prescriptive)",18
influence cultural transformation,18
ability to work independently,18
innovative approach,18
ability to operate effectively under ambiguity,18
creative problem-solving,18
commitment driving,18
collaborative mindset,18
fostering a culture of innovation,18
curate roadmaps and drive adoption,18
continuously improve and evolve offerings,18
facilitating quick decision-making,18
clear actionable insights,18
commercial awareness,18
maturity,18
strong desire to learn,18
proclivity towards action,18
critical thinking,18
self-starter,18
lead single source of truth (ssot) initiatives,18
maximizing adoption and usability,18
passion for digital transformation,18
identify opportunities for genai,18
tackling tough challenges,18
gcp,19
integration,19
m365 copilot,19
healthcare,19
facilitate clear feedback loops and asset iterations,19
azure,19
conceptual understanding of gpu computing,19
formal training in pm preferred,19
coordinating,19
asana,19
nlp (natural language processing),19
ww metric parity,19
smartsheet,19
iterative testing,19
python programming,19
airtable,19
continuous learning,19
servicenow,19
monday,19
state of the art models,19
"Expecting ',' delimiter: line 11 column 3 (char 492)",19
genai,19
funnel optimization,19
nydfs knowledge,19
working with llms,19
must be able to travel up to 50% annually,19
testing,19
wrike,19
intake,19
responsive,19
computer vision,19
gpu budget planning,19
time-to-first-meaningful-use compression,19
sdlc,19
budget forecasting,19
telecommunications,19
"ww parity across na, eu and japan regions",19
familiarity with yardi platforms,19
latest technologies,19
ms excel advanced,19
quick learner,19
tableaus,19
highly organized,19
defense,19
linkedin account required,19
mitigating unintended outputs,19
change control,19
champion diversity,19
relentless problem solvers,19
cybersecurity,19
refinement,19
digital-first orientation,19
cs background,19
llms (large language models),19
fine-tuning (llms),19
master connector,19
continuous integration (ci),19
knowledge of dma,19
transform hr operations,19
barrier removal,19
work location onsite,19
cross-functional alignment,19
ms visio proficiency,19
power bi (preferred),19
m&a activities,19
scope clarity,19
jira/confluence,19
adpipe (nice to have),19
rag (retrieval augmented generation),19
tight timelines,19
large-scale inference support,19
attention to details,19
alation,19
dramatically compress time‑to‑first-meaningful‑use,19
mission support,19
aiml analytic products,19
openai apis,19
atlan,19
deep understanding of iterative solutions,19
us citizen or green card status required,19
familiarity with placerai platforms,19
coordinate implementations,19
attention to detail,19
coordinate genai pilot programs,19
action-driven,19
okrs proficiency,19
langchain,19
40 hours per week,19
aws healthlake,19
pinterest,19
resolving blockers,19
ccpa,19
tact,19
u.s. citizenship,19
lgpd,19
smart home security and surveillance,19
model drift,19
tracking blockers,19
pm course required,19
execution,19
high judgment,19
breaking down silos,19
meta,19
roadblock resolution,19
celtra (nice to have),19
llm pretraining support,19
asi,19
action-driver,19
trello,19
blocker resolution,19
ml workloads,19
python (preferred),19
gantt charts,19
raci framework definition,19
on-site,19
resourceful,19
coordinate genai implementations,19
smartly (nice to have),19
storage requirements,19
must be currently located in the united states,19
throughput,19
drive coe operations to compress time-to-first-meaningful-use,19
contribution to white papers,19
highly available cloud services,19
ts/sci clearance,19
autonomous vehicles,19
continuous learner,19
elt systems,19
agi,19
works on unusually complex problems,19
tpm of tpms role,19
chatbot implementation,19
epic ehr systems,19
autogpt,19
calm under fire,19
genai transformation,19
travel required,19
adaptive learning strategies,19
us citizen,19
fairness,19
rag architecture,19
troubleshooting,19
tiktok,19
jira,19
non-discrimination,19
genai pilot programs,19
complex problems,19
accuracy,19
active listening,19
visibility across the entire stack,19
power bi,19
intelligent telemetry,19
"Expecting ',' delimiter: line 9 column 3 (char 288)",19
deep understanding of large language models (llms),19
natural language processing (nlp),19
large language models (llms),19
position contingent upon contract award,19
digital accessibility,19
robust tracking mechanisms,19
tco considerations,19
create playbooks,19
driving clarity and alignment,19
latency,19
geospatial intelligence and national security,19
bigquery,19
occasional travel within the national capital region (ncr),19
collibra,19
contract job type,19
tactical execution,19
"Expecting ',' delimiter: line 16 column 4 (char 923)",19
bilingual spanish (desirable),19
user feedback loops,19
telemetry translation,19
storyteq,19
ms powerpoint advanced,19
kanban,19
llm-powered systems,19
jira proficiency,19
ability to work across different geographies & time zones,19
anticipating bottlenecks,19
powerbi,19
